"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"MIN","41.0","1","23.3","5-0","1","-1.1","18","-39.6","1","2.4","9","-5.0","-25.6","2.7","6.0","1","40.5","1","8.2","5","4.1","8","4.8","7","6","2024"
"DET","34.2","2","34.5","4-1","5","17.2","4","-14.5","4","2.5","8","20.2","-10.9","3.4","4.8","2","35.1","2","-1.9","20","11.5","2","10.8","20","6","2024"
"BAL","33.2","3","27.8","4-2","2","31.5","1","-3.1","13","-1.3","22","32.7","3.9","-1.0","4.6","3","33.7","3","2.7","8","-4.3","23","7.8","13","6","2024"
"KC","23.0","4","8.4","5-0","3","12.7","9","-9.7","8","0.6","14","11.5","4.3","1.2","4.5","4","22.8","4","14.7","1","-4.9","25","4.9","9","6","2024"
"SF","21.6","5","16.7","3-3","9","15.6","7","-13.8","5","-7.9","31","16.8","-6.9","-7.0","3.8","9","21.2","5","-2.1","21","4.0","9","10.2","16","6","2024"
"HOU","21.1","6","19.3","5-1","7","0.4","17","-18.1","2","2.6","7","-0.6","-16.2","3.7","4.3","5","21.1","6","0.4","14","-1.4","17","10.2","17","6","2024"
"BUF","18.1","7","21.1","4-2","6","19.4","3","-5.6","12","-7.0","30","20.5","-7.0","-6.4","4.1","7","18.1","7","-4.9","25","-5.3","26","17.1","26","6","2024"
"GB","15.9","8","12.7","4-2","11","16.3","5","-2.3","15","-2.7","26","15.6","1.0","-1.9","4.2","6","16.2","8","-0.5","16","10.0","3","3.3","5","6","2024"
"TB","14.8","9","13.4","4-2","15","10.8","10","-5.8","11","-1.8","24","12.8","-1.2","-0.7","3.8","10","14.6","9","10.7","4","-2.0","20","13.4","23","6","2024"
"ATL","13.7","10","13.9","4-2","13","15.9","6","3.8","20","1.5","11","17.6","6.3","2.6","4.0","8","13.9","10","1.2","13","0.2","15","2.1","1","6","2024"
"NO","11.1","11","11.3","2-4","4","0.7","16","-2.7","14","7.7","2","4.1","1.4","8.6","2.8","19","9.9","12","-1.0","18","-6.9","30","27.5","32","6","2024"
"WAS","10.1","12","11.0","4-2","10","19.8","2","12.9","28","3.2","6","23.5","16.3","3.8","2.9","18","11.0","11","-1.0","19","-6.5","29","22.2","29","6","2024"
"CIN","9.0","13","5.6","2-4","12","14.9","8","4.8","22","-1.1","21","20.0","13.7","-0.7","3.6","11","9.5","13","-2.7","22","-10.0","31","3.0","4","6","2024"
"SEA","8.9","14","5.8","3-3","8","10.8","11","2.5","18","0.5","15","10.0","5.1","0.8","3.0","16","7.9","14","-4.5","24","5.8","6","14.0","24","6","2024"
"LAC","6.4","15","13.7","3-2","17","-7.7","22","-14.8","3","-0.8","20","-5.4","-18.3","0.8","3.1","13","6.3","15","-8.4","29","-2.5","21","10.6","19","6","2024"
"PIT","3.8","16","7.5","4-2","14","-8.5","23","-8.2","10","4.1","4","-6.7","-8.3","5.9","3.2","12","3.8","16","-3.4","23","0.2","14","8.2","14","6","2024"
"CHI","3.2","17","15.2","4-2","20","-9.8","24","-11.9","6","1.2","12","-4.0","-17.4","1.8","3.0","15","3.3","17","-12.4","31","16.5","1","10.3","18","6","2024"
"DEN","1.9","18","2.2","3-3","16","-14.6","26","-10.6","7","5.9","3","-17.4","-11.5","8.1","2.6","20","2.9","18","-1.0","17","0.4","13","18.1","27","6","2024"
"IND","1.4","19","0.5","3-3","19","4.9","13","3.6","19","0.1","17","6.1","6.5","0.9","3.1","14","1.4","19","-0.2","15","-1.9","19","6.1","11","6","2024"
"PHI","-6.9","20","-12.9","3-2","24","5.9","12","9.9","26","-3.0","27","3.1","13.4","-2.7","2.5","22","-6.9","20","2.0","9","-4.7","24","3.9","6","6","2024"
"NYJ","-7.8","21","-10.7","2-4","22","-3.0","21","1.4","16","-3.4","28","-7.7","0.0","-3.0","2.4","23","-7.6","21","5.2","6","-10.1","32","7.5","12","6","2024"
"ARI","-7.9","22","-15.4","2-4","21","1.5","15","8.7","23","-0.7","19","-0.7","14.8","0.1","2.6","21","-7.7","22","14.5","2","-4.0","22","24.2","30","6","2024"
"NYG","-10.0","23","-14.1","2-4","23","-1.2","19","1.9","17","-6.9","29","-1.9","5.5","-6.7","2.2","24","-9.5","23","1.9","11","2.2","11","8.7","15","6","2024"
"DAL","-11.9","24","-11.9","3-3","18","-11.5","25","11.4","27","11.0","1","-11.8","12.1","12.0","3.0","17","-12.8","24","4.5","7","3.4","10","25.3","31","6","2024"
"LAR","-13.1","25","-22.0","1-4","25","2.8","14","16.7","30","0.8","13","-2.0","21.5","1.6","2.1","25","-13.5","25","13.4","3","-1.6","18","11.6","22","6","2024"
"TEN","-17.6","26","-16.3","1-4","26","-18.2","28","-9.7","9","-9.0","32","-20.1","-11.2","-7.5","1.6","27","-17.3","26","-5.6","26","6.1","5","2.6","2","6","2024"
"JAX","-27.4","27","-27.4","1-5","27","-1.9","20","25.8","32","0.2","16","-4.0","24.6","1.2","1.9","26","-27.6","27","-7.1","28","-0.2","16","14.4","25","6","2024"
"LV","-31.8","28","-27.9","2-4","29","-19.3","29","9.8","25","-2.7","25","-20.6","5.8","-1.5","1.0","29","-31.9","28","-6.5","27","2.0","12","5.8","10","6","2024"
"NE","-33.8","29","-36.6","1-5","28","-23.4","30","13.7","29","3.3","5","-24.8","15.7","3.8","1.4","28","-34.6","29","2.0","10","-6.1","28","11.0","21","6","2024"
"CAR","-38.7","30","-38.0","1-5","30","-17.7","27","19.2","31","-1.8","23","-18.1","19.1","-0.8","0.7","30","-37.7","30","1.9","12","4.8","7","18.8","28","6","2024"
"MIA","-40.8","31","-34.0","2-3","31","-30.9","31","9.2","24","-0.7","18","-26.2","8.0","0.2","0.4","31","-41.2","31","-10.4","30","-5.8","27","2.9","3","6","2024"
"CLE","-45.4","32","-38.9","1-5","32","-43.3","32","3.8","21","1.7","10","-36.9","4.2","2.2","0.0","32","-44.7","32","-13.0","32","8.5","4","4.9","8","6","2024"